"TrialID","Subj","Basename","TrialNo","Target","SemanticFoil","PhonologicalFoil","Unrelated"
1,"001L","RWL_Block1_001L28FS1",1,"flag","kite","fly","pear"
2,"001L","RWL_Block1_001L28FS1",2,"drum","bell","dress","sword"
3,"001L","RWL_Block1_001L28FS1",3,"ring","dress","swing","flag"
4,"001L","RWL_Block1_001L28FS1",4,"swan","bee","spoon","bell"
5,"001L","RWL_Block1_001L28FS1",5,"kite","flag","gift","shirt"
6,"001L","RWL_Block1_001L28FS1",6,"bell","drum","bee","swing"
7,"001L","RWL_Block1_001L28FS1",7,"heart","ring","horse","bread"
8,"001L","RWL_Block1_001L28FS1",8,"bread","cheese","bear","vase"
9,"001L","RWL_Block1_001L28FS1",9,"vase","gift","van","swan"
10,"001L","RWL_Block1_001L28FS1",10,"gift","vase","kite","bread"
11,"001L","RWL_Block1_001L28FS1",11,"fly","bee","flag","pen"
12,"001L","RWL_Block1_001L28FS1",12,"pen","sword","pear","van"
13,"001L","RWL_Block1_001L28FS1",13,"dress","shirt","drum","swing"
14,"001L","RWL_Block1_001L28FS1",14,"cheese","bread","shirt","van"
15,"001L","RWL_Block1_001L28FS1",15,"van","horse","pan","sword"
16,"001L","RWL_Block1_001L28FS1",16,"pan","spoon","pear","vase"
17,"001L","RWL_Block1_001L28FS1",17,"sword","pen","swan","gift"
18,"001L","RWL_Block1_001L28FS1",18,"bee","fly","bear","heart"
19,"001L","RWL_Block1_001L28FS1",19,"pear","cheese","pen","ring"
20,"001L","RWL_Block1_001L28FS1",20,"shirt","dress","cheese","fly"
21,"001L","RWL_Block1_001L28FS1",21,"horse","bear","heart","pan"
22,"001L","RWL_Block1_001L28FS1",22,"swing","kite","spoon","heart"
23,"001L","RWL_Block1_001L28FS1",23,"spoon","pan","swan","drum"
24,"001L","RWL_Block1_001L28FS1",24,"bear","horse","bell","ring"
25,"001L","RWL_Block2_001L28FS1",25,"spoon","pan","swan","drum"
26,"001L","RWL_Block2_001L28FS1",26,"flag","kite","fly","pear"
27,"001L","RWL_Block2_001L28FS1",27,"pan","spoon","pear","vase"
28,"001L","RWL_Block2_001L28FS1",28,"bread","cheese","bear","vase"
29,"001L","RWL_Block2_001L28FS1",29,"shirt","dress","cheese","fly"
30,"001L","RWL_Block2_001L28FS1",30,"pen","sword","pear","van"
31,"001L","RWL_Block2_001L28FS1",31,"swan","bee","spoon","bell"
32,"001L","RWL_Block2_001L28FS1",32,"vase","gift","van","swan"
33,"001L","RWL_Block2_001L28FS1",33,"cheese","bread","shirt","van"
34,"001L","RWL_Block2_001L28FS1",34,"fly","bee","flag","pen"
35,"001L","RWL_Block2_001L28FS1",35,"pear","cheese","pen","vase"
36,"001L","RWL_Block2_001L28FS1",36,"sword","pen","swan","gift"
37,"001L","RWL_Block2_001L28FS1",37,"horse","bear","heart","pan"
38,"001L","RWL_Block2_001L28FS1",38,"drum","bell","dress","sword"
39,"001L","RWL_Block2_001L28FS1",39,"kite","flag","gift","shirt"
40,"001L","RWL_Block2_001L28FS1",40,"van","horse","pan","sword"
41,"001L","RWL_Block2_001L28FS1",41,"bell","drum","bee","swing"
42,"001L","RWL_Block2_001L28FS1",42,"ring","dress","swing","flag"
43,"001L","RWL_Block2_001L28FS1",43,"heart","ring","horse","pan"
44,"001L","RWL_Block2_001L28FS1",44,"swing","kite","spoon","heart"
45,"001L","RWL_Block2_001L28FS1",45,"bee","fly","bear","heart"
46,"001L","RWL_Block2_001L28FS1",46,"gift","vase","kite","bread"
47,"001L","RWL_Block2_001L28FS1",47,"dress","shirt","drum","swing"
48,"001L","RWL_Block2_001L28FS1",48,"bear","horse","bell","ring"
49,"002L","RWL_Block1_002L38FS2",1,"flag","kite","fly","pear"
50,"002L","RWL_Block1_002L38FS2",2,"drum","bell","dress","sword"
51,"002L","RWL_Block1_002L38FS2",3,"ring","dress","swing","flag"
52,"002L","RWL_Block1_002L38FS2",4,"swan","bee","spoon","bell"
53,"002L","RWL_Block1_002L38FS2",5,"kite","flag","gift","shirt"
54,"002L","RWL_Block1_002L38FS2",6,"bell","drum","bee","swing"
55,"002L","RWL_Block1_002L38FS2",7,"heart","ring","horse","pan"
56,"002L","RWL_Block1_002L38FS2",8,"bread","cheese","bear","vase"
57,"002L","RWL_Block1_002L38FS2",9,"vase","gift","van","swan"
58,"002L","RWL_Block1_002L38FS2",10,"gift","vase","kite","bread"
59,"002L","RWL_Block1_002L38FS2",11,"fly","bee","flag","pen"
60,"002L","RWL_Block1_002L38FS2",12,"pen","sword","pear","van"
